Set Lambda Up(nm), Detector 5 (cts/s), Error Counts
1467.4, 18466.9, 210.405061726
1467.5, 16641.9, 309.307436057
1467.6, 17129.7, 732.80093477
1467.7, 13717.6, 611.362118552
1467.8, 13488.2, 315.056756792
1467.9, 12874.5, 517.71386885
1468.0, 16108.2, 829.167510217
1468.1, 17360.3, 613.450087619
1468.2, 13815.5, 205.467394007
1468.3, 11949.5, 159.620957271
1468.4, 11809.5, 95.6328918312
1468.5, 14582.7, 194.524060208
1468.6, 15761.3, 250.898007166
1468.7, 18179.2, 489.307428924
1468.8, 14537.7, 148.631120564
1468.9, 12862.3, 109.632157691
1469.0, 15177.5, 511.933638277
1469.1, 13194.9, 707.771778188
1469.2, 15760.2, 96.5078235171
1469.3, 14226.1, 170.409184025
1469.4, 13466.0, 400.234431302
1469.5, 15535.2, 865.489087164
1469.6, 11315.7, 592.95818571
1469.7, 15115.6, 625.36568502
1469.8, 13950.3, 589.967126203
1469.9, 11306.5, 590.163579019
1470.0, 11429.4, 443.9829276
1470.1, 12696.7, 432.525386538
1470.2, 17290.3, 785.435554326
1470.3, 13369.8, 578.398962655
1470.4, 13323.7, 658.957214089
1470.5, 12734.7, 451.367267311
1470.6, 17739.5, 682.248085377
1470.7, 16130.3, 696.55538904
1470.8, 12648.5, 496.812691062
1470.9, 12012.6, 530.094368957
1471.0, 12386.4, 659.98715139
1471.1, 13719.6, 697.428447943
1471.2, 11122.5, 369.528415687
1471.3, 12128.6, 145.122844515
1471.4, 14800.7, 161.212933724
1471.5, 16805.9, 373.982472851
1471.6, 16869.1, 195.049967957
1471.7, 12611.9, 208.564354577
1471.8, 13424.1, 150.478868948
1471.9, 13513.3, 136.771378585
1472.0, 13094.7, 149.475783992
1472.1, 13282.2, 194.786447167
1472.2, 13360.9, 157.573760506
1472.3, 17572.7, 827.025882304
1472.4, 15015.7, 608.880620483
1472.5, 14042.9, 496.645235556
1472.6, 13658.4, 268.293197827
1472.7, 13407.2, 344.236488478
1472.8, 12423.6, 359.235354608
1472.9, 12671.9, 184.587892344
1473.0, 10640.6, 322.6773001
1473.1, 13176.2, 633.609153974
1473.2, 12655.3, 647.763699199
1473.3, 10386.0, 438.320202592
1473.4, 12908.8, 653.889715472
1473.5, 16849.1, 816.088898344
1473.6, 14169.2, 540.253422016
1473.7, 12509.3, 479.118576137
1473.8, 12396.9, 518.493866888
1473.9, 12808.6, 148.365899047
1474.0, 12976.8, 432.349812074
1474.1, 11176.2, 140.688165814
1474.2, 12900.3, 207.132831777
1474.3, 13122.2, 608.532299882
1474.4, 13261.3, 655.96906177
1474.5, 12633.3, 495.290026146
1474.6, 12268.1, 544.926499631
1474.7, 12803.8, 526.307286668
1474.8, 10736.2, 560.797075599
1474.9, 11532.4, 459.100468307
1475.0, 12829.2, 471.215407218
1475.1, 14869.2, 806.537141116
1475.2, 13760.4, 645.689894609
1475.3, 12170.1, 432.157020075
1475.4, 13294.9, 638.580997212
1475.5, 16132.0, 614.464482293
1475.6, 15003.7, 561.618028557
1475.7, 14466.2, 821.949000851
1475.8, 13924.5, 582.070829023
1475.9, 16071.1, 675.337463791
1476.0, 17023.6, 201.903541326
1476.1, 15640.6, 125.821460809
1476.2, 16738.2, 157.229640971
1476.3, 15912.3, 332.619617581
1476.4, 16562.6, 234.796166919
1476.5, 17420.0, 217.513217989
1476.6, 16269.1, 146.066731325
1476.7, 14689.5, 231.257540418
1476.8, 13936.3, 585.643073894
1476.9, 17864.4, 767.180578482
1477.0, 15236.4, 892.940669922
1477.1, 13645.4, 572.069261541
1477.2, 13435.5, 393.066979025
1477.3, 14546.3, 737.550683004
1477.4, 15611.6, 672.408982688
1477.5, 14531.9, 571.211773338
1477.6, 15558.4, 693.652823825
1477.7, 18580.4, 573.878244927
1477.8, 16023.4, 875.673820552
1477.9, 14660.8, 547.462108278
1478.0, 14962.0, 643.960091931
1478.1, 15809.6, 555.530233201
1478.2, 15924.3, 529.552273152
1478.3, 13982.6, 188.964123579
1478.4, 19429.9, 225.493436712
1478.5, 17152.3, 312.925885794
1478.6, 16942.9, 406.972099781
1478.7, 17794.3, 198.324002582
1478.8, 13904.8, 132.18305489
1478.9, 16505.6, 118.9110592
1479.0, 13887.6, 147.981215024
1479.1, 14145.0, 103.906688909
1479.2, 15517.6, 119.796661055
1479.3, 16912.9, 274.832112389
1479.4, 15675.3, 248.594871226
1479.5, 15396.3, 151.03579046
1479.6, 14281.0, 177.521266332
1479.7, 14714.7, 235.327452712
1479.8, 14996.7, 282.913431989
1479.9, 14474.6, 102.177492629
1480.0, 13556.1, 184.522871211
1480.1, 12510.7, 132.215770618
1480.2, 14195.0, 186.547581062
1480.3, 12510.6, 106.224479288
1480.4, 13778.4, 292.96559525
1480.5, 11153.5, 123.235749683
1480.6, 14406.8, 209.845085718
1480.7, 12726.6, 202.927179057
1480.8, 13951.4, 69.286650951
1480.9, 12468.6, 114.757309135
1481.0, 13026.0, 178.754580361
1481.1, 13672.4, 113.176145897
1481.2, 12053.2, 152.263455891
1481.3, 12502.5, 103.675696284
1481.4, 13237.9, 162.444113467
1481.5, 11643.7, 142.984649526
1481.6, 11970.9, 157.959140286
1481.7, 13392.4, 183.798911857
1481.8, 12693.5, 146.359318118
1481.9, 11720.9, 206.015266425
1482.0, 13331.9, 88.28754159
1482.1, 12062.2, 216.382439214
1482.2, 12050.6, 107.064653364
1482.3, 11166.7, 143.784595837
1482.4, 10721.5, 172.538256627
1482.5, 10170.3, 148.327374412
1482.6, 10975.1, 86.0412110561
1482.7, 11595.0, 68.0205851195
1482.8, 10646.9, 119.180912901
1482.9, 13613.9, 155.685869622
1483.0, 11882.5, 120.216679375
1483.1, 11885.7, 173.324002954
1483.2, 10971.6, 138.029851844
1483.3, 11507.2, 124.406430702
1483.4, 11027.0, 228.183259684
1483.5, 11549.0, 127.282363272
1483.6, 12891.1, 164.544492463
1483.7, 11891.3, 193.437871163
1483.8, 11584.1, 133.682048159
1483.9, 11658.8, 108.769297138
1484.0, 10739.5, 96.1782199877
1484.1, 11195.6, 88.268000997
1484.2, 11129.6, 101.353046328
1484.3, 12225.4, 118.167846727
1484.4, 11834.0, 133.312415026
1484.5, 11198.7, 136.526957045
1484.6, 11178.7, 65.3881487733
1484.7, 11061.1, 91.008186445
1484.8, 11387.5, 76.4359208749
1484.9, 12199.9, 142.39483839
1485.0, 10965.0, 118.021184539
1485.1, 11555.4, 131.90087187
1485.2, 9711.2, 115.363599112
1485.3, 10750.0, 193.362354144
1485.4, 11753.9, 193.983736432
1485.5, 11150.2, 203.841997635
1485.6, 10643.8, 136.340602903
1485.7, 10251.4, 130.405674723
1485.8, 11579.9, 125.663399604
1485.9, 11495.3, 192.988626608
1486.0, 11106.2, 336.999643917
1486.1, 11402.2, 143.452988815
1486.2, 10713.5, 187.370355179
1486.3, 11496.9, 165.475949914
1486.4, 11225.4, 130.757944309
1486.5, 10384.9, 187.579023347
1486.6, 12014.1, 205.079716208
1486.7, 12077.9, 269.998685182
1486.8, 10464.7, 95.5259650566
1486.9, 11766.6, 240.719006312
1487.0, 11456.4, 77.5566889443
1487.1, 12549.6, 239.621868785
1487.2, 12078.4, 138.000144927
1487.3, 10894.4, 187.210149298
1487.4, 12237.8, 132.175489407
1487.5, 11354.0, 222.937659448
1487.6, 11910.3, 95.7800083525
1487.7, 10846.4, 267.011685138
1487.8, 11825.3, 131.802162349
1487.9, 12416.2, 162.797297275
1488.0, 11569.0, 194.21276992
1488.1, 11521.7, 266.888759598
1488.2, 12644.4, 227.5443693
1488.3, 12471.5, 87.4245388893
1488.4, 12006.9, 187.698401698
1488.5, 11440.4, 146.185635409
1488.6, 12136.2, 121.388467327
1488.7, 13134.2, 309.70495637
1488.8, 11357.7, 122.387131676
1488.9, 12633.3, 162.414315871
1489.0, 11728.4, 145.993287517
1489.1, 12157.8, 172.058594671
1489.2, 13276.8, 185.913851017
1489.3, 12570.6, 238.510041717
1489.4, 11907.2, 165.309890811
1489.5, 12982.7, 227.890346439
1489.6, 11592.0, 153.94089775
1489.7, 13170.0, 207.916810287
1489.8, 11817.0, 180.809844865
1489.9, 12471.1, 273.0997803
1490.0, 11949.3, 234.578366436
1490.1, 13451.7, 175.020027425
1490.2, 12312.0, 134.156624883
1490.3, 11622.1, 161.596689323
1490.4, 12288.9, 180.630811325
1490.5, 12185.7, 229.513420087
