Delay (ns),Data 1, Detector 5 (cts/s), Error Counts, Detector 6 (cts/s), Error Counts,,,,,,,
19.63541667,1242,32.40370349,,,,,,,,,,
19.79166667,1093,32.40370349,,,,,,,,,,
19.94791667,965,32.40370349,,,,,,,,,,
20.10416667,1048,32.40370349,,,,,,,,,,
20.26041667,1084,32.40370349,,,,,,,,,,
20.41666667,936,32.40370349,,,,,,,,,,
20.57291667,910,32.40370349,,,,,,,,,,
20.72916667,941,32.40370349,,,,,,,,,,
20.88541667,1093,32.40370349,,,,,,,,,,
21.04166667,1047,32.40370349,,,,,,,,,,
21.19791667,1067,32.40370349,,,,,,,,,,
21.35416667,1044,32.40370349,,,,,,,,,,
21.51041667,1225,32.40370349,,,,,,,,,,
21.66666667,1197,32.40370349,,,,,,,,,,
21.82291667,1228,32.40370349,,,,,,,,,,
21.97916667,1310,32.40370349,,,,,,,,,,
22.13541667,1537,32.40370349,,,,,,,,,,
22.29166667,1479,32.40370349,,,,,,,,,,
22.44791667,1423,32.40370349,,,,,,,,,,
22.60416667,1514,32.40370349,,,,,,,,,,
22.76041667,1745,32.40370349,,,,,,,,,,
22.91666667,1756,32.40370349,,,,,,,,,,
23.07291667,1809,32.40370349,,,,,,,,,,
23.22916667,1906,32.40370349,,,,,,,,,,
23.38541667,2427,32.40370349,,,,,,,,,,
23.54166667,2329,32.40370349,,,,,,,,,,
23.69791667,2341,32.40370349,,,,,,,,,,
23.85416667,2320,32.40370349,,,,,,,,,,
24.01041667,2855,32.40370349,,,,,,,,,,
24.16666667,2730,32.40370349,,,,,,,,,,
24.32291667,2733,32.40370349,,,,,,,,,,
24.47916667,3091,32.40370349,,,,,,,,,,
24.63541667,4142,32.40370349,,,,,,,,,,
24.79166667,4616,32.40370349,,,,,,,,,,
24.94791667,4796,32.40370349,,,,,,,,,,
25.10416667,5443,32.40370349,,,,,,,,,,
25.26041667,6707,32.40370349,,,,,,,,,,
25.41666667,6736,32.40370349,,,,,,,,,,
25.57291667,6567,32.40370349,,,,,,,,,,
25.72916667,6639,32.40370349,,,,,,,,,,
25.88541667,8129,32.40370349,,,,,,,,,,
26.04166667,7535,32.40370349,,,,,,,,,,
26.19791667,7098,32.40370349,,,,,,,,,,
26.35416667,7197,32.40370349,,,,,,,,,,
26.51041667,8069,32.40370349,,,,,,,,,,
26.66666667,7528,32.40370349,,,,,,,,,,
26.82291667,7037,32.40370349,,,,,,,,,,
26.97916667,7141,32.40370349,,,,,,,,,,
27.13541667,8416,32.40370349,,,,,,,,,,
27.29166667,7593,32.40370349,,,,,,,,,,
27.44791667,7285,32.40370349,,,,,,,,,,
27.60416667,7475,32.40370349,,,,,,,,,,
27.76041667,8315,32.40370349,,,,,,,,,,
27.91666667,7766,32.40370349,,,,,,,,,,
28.07291667,7143,32.40370349,,,,,,,,,,
28.22916667,7249,32.40370349,,,,,,,,,,
28.38541667,8504,32.40370349,,,,,,,,,,
28.54166667,7667,32.40370349,,,,,,,,,,
28.69791667,7340,32.40370349,,,,,,,,,,
28.85416667,7317,32.40370349,,,,,,,,,,
29.01041667,8216,32.40370349,,,,,,,,,,
29.16666667,7778,32.40370349,,,,,,,,,,
29.32291667,7212,32.40370349,,,,,,,,,,
29.47916667,7193,32.40370349,,,,,,,,,,
29.63541667,8373,32.40370349,,,,,,,,,,
29.79166667,7704,32.40370349,,,,,,,,,,
29.94791667,7288,32.40370349,,,,,,,,,,
30.10416667,7170,32.40370349,,,,,,,,,,
